Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Plastic Bags,Wrappers,Sports Balls,Homes Powered
348,July,2019,7/6/2019,3.34,15,950,650,3400,4,280,680,7,56
349,July,2019,7/6/2019,2.69,15,3700,1500,5800,12,600,1100,8,45
350,July,2019,7/6/2019,2.57,15,1900,840,8800,18,880,1400,18,43
351,July,2019,7/9/2019,3.45,15,3600,980,8400,18,680,1440,14,58
352,July,2019,7/9/2019,2.25,15,2400,1100,9400,38,380,2040,22,38
353,July,2019,7/13/2019,2.48,15,4400,1800,7200,11,660,1340,12,41
354,July,2019,7/13/2019,3.13,15,980,210,1000,0,360,740,4,52
355,July,2019,7/13/2019,2.65,15,1980,800,4400,12,440,1800,14,44
356,July,2019,7/19/2019,3.96,15,3600,1400,6800,8,280,1600,32,66
357,August,2019,8/2/2019,2.61,15,2200,680,5000,24,740,1380,10,44
358,August,2019,8/2/2019,3.82,15,2800,980,4800,12,360,640,4,64
359,August,2019,8/8/2019,2.66,15,4200,1400,7800,32,240,1310,14,44
360,August,2019,8/24/2019,4.25,15,800,360,1800,0,100,240,0,71
361,August,2019,8/24/2019,2.96,15,1400,720,2200,4,180,540,6,49
362,August,2019,8/24/2019,4,15,1800,980,3600,8,88,980,13,67
363,August,2019,8/24/2019,3.17,15,2210,950,5000,24,120,960,21,53
364,October,2019,10/18/2019,3.07,15,980,800,2200,6,840,1100,4,51
365,October,2019,10/18/2019,2.41,15,2800,2020,6500,10,660,1200,12,40
366,October,2019,10/18/2019,3.21,15,1900,1200,6600,22,800,2100,16,54
367,October,2019,10/25/2019,3.25,15,2780,2100,7200,16,940,1980,28,54
368,October,2019,10/28/2019,3.43,15,2440,2000,5300,10,350,1400,12,57
369,October,2019,10/28/2019,3.28,15,3400,1880,7800,12,480,1580,20,55
370,October,2019,10/28/2019,2.66,15,920,1240,4800,0,240,560,4,44
371,October,2019,10/30/2019,2.98,15,1260,1480,3600,14,320,880,2,50
372,November,2019,11/2/2019,3.05,15,1980,1550,4900,8,180,560,12,51
373,November,2019,11/2/2019,2.23,15,1000,1200,6400,12,560,880,2,37
374,November,2019,11/4/2019,3.2,15,960,800,5500,4,340,1020,11,53
375,November,2019,11/4/2019,3.2,15,640,720,3400,0,210,400,4,53
376,November,2019,11/25/2019,3.58,15,860,980,4000,8,180,720,1,60
377,November,2019,11/25/2019,3.88,15,590,500,1200,0,88,190,0,65
378,November,2019,11/25/2019,2.25,15,1800,1680,2800,24,100,240,3,38
379,December,2019,12/6/2019,2.72,15,3600,3200,7000,8,420,1200,9,45
380,December,2019,12/20/2019,2.78,15,2300,2400,8400,9,360,1700,12,46
381,January,2020,1/18/2020,2.75,15,3900,2100,12500,15,750,1100,16,46
382,January,2020,1/18/2020,1.8,15,2900,1800,10400,8,850,1800,12,30
383,January,2020,1/19/2020,2.9,15,1850,1100,9800,12,550,980,8,48
384,January,2020,1/27/2020,2.54,15,3400,2400,12000,21,1040,1450,6,42
385,January,2020,1/27/2020,2.18,15,980,900,6500,4,720,840,14,36
386,January,2020,1/27/2020,3.24,15,750,640,5400,8,440,640,2,54
387,January,2020,1/27/2020,3.07,15,500,440,4200,4,500,560,6,51
388,January,2020,1/30/2020,2.8,15,3200,2400,9600,14,980,1200,14,47
389,January,2020,1/30/2020,2.8,15,3800,2700,9400,12,660,980,10,47
390,February,2020,2/10/2020,1.9,15,1850,980,8000,2,880,1040,9,32
391,March,2020,3/2/2020,2.34,15,2800,2000,7200,18,420,800,16,39
392,March,2020,3/24/2020,2.15,15,980,900,5600,4,500,1000,7,36
393,March,2020,3/30/2020,3.86,15,3200,2700,11000,18,840,1040,11,64
394,April,2020,4/11/2020,3.98,15,2800,2100,5900,13,1050,1640,6,66
395,April,2020,4/14/2020,4.62,15,2640,1880,6800,20,860,1200,14,77
396,April,2020,4/14/2020,3.36,15,1200,840,2000,0,460,800,8,56
397,April,2020,4/14/2020,2.91,15,510,490,1800,4,140,380,4,49
398,April,2020,4/15/2020,3.5,15,660,360,1700,7,100,340,4,58
399,April,2020,4/15/2020,3.13,15,480,290,1100,9,80,290,2,52
400,April,2020,4/23/2020,3.06,15,2900,2200,5500,11,400,1600,14,51
401,April,2020,4/25/2020,3.17,15,2300,1200,4200,22,480,980,19,53
402,March,2020,5/2/2020,4.22,15,1980,1480,4900,12,600,680,16,70
403,March,2020,5/2/2020,3.68,15,1040,880,5200,20,550,1040,22,61
404,March,2020,5/2/2020,4,15,900,600,3400,4,380,450,12,67
405,June,2020,6/6/2020,3.98,15,3400,2400,4000,8,280,1100,24,66
406,June,2020,6/6/2020,2.55,15,1800,850,4200,22,440,760,12,43
407,June,2020,6/19/2020,0.78,15,3000,2700,5800,12,300,900,10,13
408,June,2020,6/22/2020,3.04,15,2800,1400,6000,18,560,1010,10,51
409,June,2020,6/22/2020,3,15,950,750,3400,24,240,770,1,50
410,June,2020,6/24/2020,3.79,15,3800,2100,4300,13,450,960,14,63
411,June,2020,6/24/2020,3.84,15,800,880,2100,4,140,540,0,64
412,June,2020,6/24/2020,3.96,15,760,980,1800,2,80,280,4,66
413,June,2020,6/24/2020,3.29,15,540,320,1400,8,100,180,0,55
414,June,2020,6/24/2020,3.35,15,340,290,2100,2,74,310,2,56
415,June,2020,6/25/2020,3.44,15,600,340,1200,6,120,290,3,57
416,June,2020,6/25/2020,3.78,15,480,340,1300,14,200,340,6,63
417,July,2020,7/2/2020,2.93,15,2100,1200,5100,15,680,1020,11,49
418,July,2020,7/8/2020,3.34,15,1840,1440,4200,19,500,850,15,56
419,July,2020,7/13/2020,2.14,15,1100,980,3200,12,400,640,12,36
420,July,2020,7/24/2020,3.1,15,2650,1300,4900,18,690,900,8,52
421,July,2020,7/24/2020,3.05,15,1900,990,3750,14,500,750,19,51
422,July,2020,7/27/2020,3.11,15,900,660,3050,8,350,360,12,52
423,July,2020,7/27/2020,3.32,15,1880,950,3900,10,380,480,10,55
424,August,2020,8/3/2020,2.92,15,1240,880,3100,14,300,400,24,49
425,August,2020,8/11/2020,2.98,15,3000,2250,5000,20,800,1100,16,50
426,August,2020,8/11/2020,1.89,15,2300,900,4750,20,660,740,9,32
427,August,2020,8/18/2020,2.7,15,1400,840,3200,12,350,760,10,45
428,August,2020,8/26/2020,1.41,15,2050,1250,4400,16,280,680,16,24
429,September,2020,9/4/2020,3.52,15,3250,1500,4000,14,820,800,12,59
430,September,2020,9/4/2020,3.39,15,2100,1420,3200,10,680,650,20,57
431,September,2020,9/12/2020,2.36,15,2450,1640,4500,18,500,640,18,39
432,October,2020,10/1/2020,3.19,15,4050,2500,6400,21,480,1050,21,53
433,October,2020,10/30/2020,3.02,15,3800,2200,5200,18,750,900,24,50
434,October,2020,10/30/2020,2.98,15,3000,1850,3000,12,680,880,14,50
435,October,2020,10/31/2020,3.39,15,2200,1200,3200,12,300,480,8,57
436,November,2020,11/13/2020,4.29,15,3500,2500,4900,20,480,720,11,72
437,November,2020,11/13/2020,3.62,15,1800,1000,3300,8,280,640,8,60
438,November,2020,11/13/2020,2.45,15,1250,900,2200,10,300,480,9,41
439,December,2020,12/1/2020,2.92,15,2200,980,5600,21,500,840,14,49
440,December,2020,12/1/2020,3.07,15,1640,800,4100,10,280,480,21,51
441,December,2020,12/1/2020,2.42,15,1080,750,3800,14,360,380,18,40
442,December,2020,12/3/2020,3.11,15,1790,1040,4900,19,480,540,12,52
443,December,2020,12/3/2020,2.92,15,2080,1100,5200,24,280,640,16,49
444,December,2020,12/9/2020,1.94,15,1600,880,3800,24,360,480,21,32
445,December,2020,12/18/2020,3.02,15,2200,1080,4050,12,400,400,10,50
446,December,2020,12/26/2020,2.79,15,2000,980,3600,15,280,640,14,47
447,December,2020,12/26/2020,2.01,15,1200,780,3200,20,500,360,20,34
448,December,2020,12/26/2020,3.35,15,980,600,2800,21,280,480,8,56
449,December,2020,12/26/2020,3.34,15,800,640,2700,12,380,450,28,56
450,December,2020,12/26/2020,3.08,15,1200,720,4200,18,270,720,0,51
451,December,2020,12/30/2020,2.73,15,1800,780,4200,14,270,280,14,46
452,December,2020,12/30/2020,2.12,15,1440,600,3600,21,420,360,15,35
453,January,2021,1/4/2021,2.81,15,1600,840,3400,24,320,540,12,47
454,February,2021,2/17/2021,2.43,15,2400,1100,4400,9,980,1050,10,47
455,March,2021,3/3/2021,2.69,15,1900,860,3800,14,1000,750,18,45
456,March,2021,3/23/2021,1.83,15,2100,900,4200,16,680,800,12,31
457,March,2021,3/25/2021,3.14,15,1200,500,3300,8,580,720,8,52
458,March,2021,3/25/2021,2.72,15,720,280,2800,20,320,420,14,45
459,March,2021,3/25/2021,3.34,15,800,240,2700,4,180,380,6,56
460,March,2021,3/27/2021,3.64,15,2200,750,3000,24,540,740,14,61
461,March,2021,3/27/2021,2.95,15,1600,880,4200,12,480,890,20,49
462,March,2021,3/27/2021,2.34,15,1000,280,2400,0,400,960,12,39
463,March,2021,3/31/2021,2.55,15,3000,720,3600,21,720,1200,21,43
464,April,2021,4/13/2021,3.5,15,2700,1400,4400,12,810,1050,14,58
465,March,2021,5/6/2021,5.03,15,2300,840,5000,28,640,980,18,84
466,March,2021,5/6/2021,3.9,15,1900,560,3900,14,590,1010,26,65
467,March,2021,5/28/2021,3.66,15,5800,600,5400,20,700,880,30,61
468,March,2021,5/28/2021,3.69,15,1800,440,3400,22,540,980,14,62
469,June,2021,6/1/2021,3.77,15,2200,480,4000,12,400,600,18,49
470,June,2021,6/1/2021,4.27,15,3400,360,5400,28,720,1000,20,71
471,June,2021,6/4/2021,3.03,15,4400,480,4800,34,720,980,22,51
472,June,2021,6/11/2021,3.83,15,3400,660,6000,22,560,800,21,64
473,June,2021,6/11/2021,3.3,15,2500,360,4400,18,320,720,12,55
474,June,2021,6/11/2021,3.9,15,1600,290,2800,16,300,540,14,65
475,June,2021,6/12/2021,2.78,15,1200,250,2700,10,320,360,8,46
476,June,2021,6/12/2021,2.67,15,1040,200,2700,12,480,320,10,45
477,June,2021,6/15/2021,3.58,15,4400,640,5000,30,600,1080,28,60
478,July,2021,7/2/2021,4.5,15,4800,720,6200,32,810,1200,30,75
479,July,2021,7/2/2021,3.91,15,1800,180,2900,21,300,600,12,65
480,July,2021,7/14/2021,1.32,15,3600,640,4800,16,440,840,18,22
481,August,2021,8/3/2021,2.31,15,3000,340,4800,24,320,480,18,39
482,August,2021,8/12/2021,3.66,15,4200,540,5400,28,680,1100,28,61
483,August,2021,8/12/2021,2.07,15,1400,120,2400,12,180,940,8,35
484,August,2021,8/16/2021,3.8,15,2800,340,3400,16,290,800,12,63
485,August,2021,8/16/2021,3.97,15,1800,140,2400,10,200,540,12,66
486,August,2021,8/20/2021,5.2,15,3400,660,4200,24,480,960,24,87
487,September,2021,9/1/2021,2,15,2600,420,5200,20,220,640,18,33
488,September,2021,9/2/2021,1.66,15,3300,510,4900,22,340,1010,14,28
489,September,2021,9/2/2021,2.18,15,4100,680,5400,12,280,940,20,36
490,September,2021,9/3/2021,4.01,15,1800,350,3800,18,180,690,10,67
491,September,2021,9/15/2021,2.9,15,3500,480,4900,24,200,1050,28,48
492,September,2021,9/24/2021,4.12,15,2900,500,3300,30,340,890,14,69
493,September,2021,9/24/2021,4,15,850,100,1800,2,100,440,2,67
494,September,2021,9/24/2021,2.92,15,680,180,2000,8,75,360,14,49
495,October,2021,10/26/2021,3.38,15,3100,380,4500,18,180,980,22,56
496,October,2021,10/26/2021,3.81,15,1750,400,4800,30,220,740,12,64
497,October,2021,10/26/2021,2.61,15,980,120,2800,16,140,1000,20,44
498,November,2021,11/1/2021,3.02,15,2800,400,5500,24,240,880,32,50
499,November,2021,11/1/2021,2.54,15,1200,320,3000,12,150,400,2,42
500,November,2021,11/1/2021,3.09,15,840,240,1400,4,80,280,6,52
501,November,2021,11/1/2021,3.73,15,1040,250,2200,11,100,320,18,62
502,November,2021,11/1/2021,3.89,15,500,75,1500,10,110,460,4,65
503,November,2021,11/2/2021,3.9,15,800,100,1800,6,75,380,8,65
504,November,2021,11/2/2021,3.72,15,640,140,2000,12,100,500,2,62
505,November,2021,11/2/2021,2.66,15,900,150,1000,4,50,250,1,44
506,November,2021,11/3/2021,3.55,15,660,95,2800,24,100,375,20,59
507,November,2021,11/3/2021,2.8,15,750,150,1400,15,190,550,16,47
508,November,2021,11/13/2021,3.22,15,3800,450,4800,32,175,640,28,54
509,December,2021,12/7/2021,1.9,15,2900,290,4200,20,200,840,32,32
510,December,2021,12/31/2021,1.83,15,1800,320,3900,28,180,800,12,31
511,January,2022,1/5/2022,2.2,15,2700,220,5100,34,200,610,15,37
512,January,2022,1/18/2022,2.99,15,4200,520,4000,40,480,500,20,50
513,January,2022,1/18/2022,3.12,15,3000,325,3300,11,190,900,30,52
514,January,2022,1/19/2022,2.86,15,1200,80,2200,10,140,400,12,48
515,January,2022,1/19/2022,2.72,15,600,70,1000,13,24,180,4,45
516,February,2022,2/21/2022,2.71,15,3100,220,4400,28,110,650,36,45
517,March,2022,3/11/2022,2.15,15,4400,210,5200,30,140,500,28,36
518,March,2022,3/25/2022,4.66,15,2800,140,3300,18,80,550,36,78
519,March,2022,3/25/2022,2.35,15,1100,100,3000,24,100,600,12,39
520,April,2022,4/2/2022,2.75,15,3400,240,4800,34,81,800,18,46
521,April,2022,4/7/2022,2.59,15,2800,200,5000,10,120,540,21,43
522,April,2022,4/7/2022,3.7,15,800,64,1200,6,50,350,2,62
523,April,2022,4/7/2022,2.61,15,1800,110,2300,20,120,460,14,44
524,April,2022,4/8/2022,3.97,15,540,50,900,4,64,240,0,66
525,April,2022,4/29/2022,4.51,15,3300,300,4200,34,140,640,20,75
526,March,2022,5/11/2022,2.83,15,2800,220,3600,22,180,780,30,47
527,March,2022,5/11/2022,4.14,15,900,48,1200,8,80,580,8,69
528,March,2022,5/17/2022,3.21,15,2100,110,5000,24,140,900,28,54
529,March,2022,5/24/2022,3.83,15,3200,200,6200,40,120,1000,40,64
530,March,2022,5/31/2022,3.97,15,1440,75,3600,22,80,440,14,66
531,March,2022,5/31/2022,4.02,15,800,50,1800,10,64,320,6,67
532,March,2022,5/31/2022,3.76,15,540,110,1100,4,50,450,12,63
533,June,2022,6/1/2022,3.18,15,2900,420,3800,12,240,1100,9,53
534,June,2022,6/10/2022,4.02,15,2000,340,2900,8,320,880,20,67
535,June,2022,6/10/2022,3.36,15,960,120,1500,14,96,640,10,56
536,June,2022,6/11/2022,1.64,10,3200,290,4200,9,380,1000,6,27
537,June,2022,6/11/2022,3.76,15,1250,100,2100,24,200,960,18,63
538,June,2022,6/29/2022,1.97,15,2900,360,3200,12,400,840,14,33
539,June,2022,6/29/2022,3.96,15,2100,240,4800,20,360,1200,21,66
540,July,2022,7/5/2022,3.77,15,3600,320,5000,12,330,1400,18,63
541,July,2022,7/5/2022,3.25,15,1400,120,3600,22,280,980,30,54
542,July,2022,7/15/2022,2.75,15,3900,200,4200,21,210,1200,18,46
543,July,2022,7/18/2022,2.7,15,3000,240,4400,24,270,1100,12,45
544,July,2022,7/18/2022,3.39,15,1800,96,2800,4,120,980,10,57
545,July,2022,7/21/2022,2.82,15,2700,180,3800,10,200,860,21,47
546,July,2022,7/27/2022,2.03,15,2400,120,4400,28,360,1500,24,34
547,July,2022,7/29/2022,1.69,13,2900,210,4900,16,290,900,12,28
548,August,2022,8/9/2022,2.84,15,1400,280,3500,12,140,750,20,47
549,August,2022,8/19/2022,2.25,15,3900,340,5500,20,200,1100,30,38
550,September,2022,9/9/2022,3.09,15,4200,390,4800,10,180,960,21,52
551,September,2022,9/13/2022,3.67,15,2800,120,4200,12,150,1000,36,61
552,September,2022,9/14/2022,3.64,15,1900,200,6300,8,80,1260,14,61
553,September,2022,9/14/2022,3.78,15,960,75,2900,11,100,660,8,63
554,September,2022,9/14/2022,3.69,15,640,50,1800,24,140,500,6,62
555,September,2022,9/15/2022,3.88,15,750,84,2200,9,72,480,18,65
556,September,2022,9/15/2022,4.18,15,500,48,1800,10,84,360,5,70
557,October,2022,10/7/2022,2.73,14,3500,280,4900,21,210,1000,21,46
558,October,2022,10/7/2022,4.39,15,2900,320,5500,36,180,1360,18,73
559,November,2022,11/10/2022,2.03,15,2100,100,4900,42,150,1600,30,34
560,November,2022,11/14/2022,3.12,15,3200,280,5400,24,200,1200,32,52
561,November,2022,11/22/2022,2.27,15,1800,150,2900,12,160,980,21,38
562,December,2022,12/9/2022,2.54,15,1500,84,3900,36,190,1400,40,42
563,December,2022,12/17/2022,3.27,15,2100,120,4200,18,220,1600,21,55
564,December,2022,12/17/2022,2.79,15,1000,48,2100,8,64,900,14,47
565,December,2022,12/21/2022,3.15,15,2900,320,4800,21,180,1900,36,53
566,December,2022,12/28/2022,3.02,15,1600,100,3600,24,200,2000,27,50
567,December,2022,12/29/2022,3.36,15,2100,120,1800,21,110,1600,14,56
568,January,2023,1/27/2023,3.23,15,1700,210,2900,15,180,1500,10,54
569,February,2023,2/20/2023,3.03,15,2400,300,3300,21,210,1100,21,51
570,February,2023,2/20/2023,3.53,15,3600,280,4200,24,240,2200,30,59
571,March,2023,3/6/2023,3.14,15,2700,180,3200,18,270,1700,20,52
572,March,2023,3/29/2023,3.41,15,2900,200,3000,20,200,1400,14,57
573,April,2023,4/17/2023,4.78,15,1800,90,2400,16,170,980,11,80
574,April,2023,4/17/2023,5.31,15,2200,210,3800,30,280,1800,28,89
575,April,2023,4/20/2023,2.97,15,3000,280,4000,22,320,2100,18,50
576,April,2023,4/24/2023,3.66,15,2100,200,3300,21,260,2100,24,61
577,April,2023,4/24/2023,4.87,15,1000,64,1900,10,120,900,9,81
578,April,2023,4/24/2023,5.31,15,2700,190,3600,32,340,2000,32,89
579,March,2023,5/4/2023,3.66,15,2200,420,4100,27,290,2300,40,61
580,March,2023,5/4/2023,2.62,15,3100,380,2900,40,220,1800,21,44
581,June,2023,6/28/2023,3.56,15,3400,480,4400,36,310,2200,27,59
582,June,2023,6/28/2023,3.79,15,4000,390,4200,32,400,1400,38,63
583,June,2023,6/28/2023,2.28,10,2100,300,3300,12,240,1000,18,38
584,June,2023,6/29/2023,3.9,15,1900,220,4700,30,180,2100,21,65
585,July,2023,7/3/2023,4.08,15,2300,310,3900,27,220,1400,30,68
586,July,2023,7/5/2023,4.36,15,3200,270,5200,21,320,1800,27,73
587,July,2023,7/5/2023,4.23,15,1200,180,2500,18,190,1500,14,71
588,July,2023,7/10/2023,3.71,15,3400,400,4500,22,280,2200,27,62
589,July,2023,7/10/2023,3.58,15,2100,200,3200,29,250,1800,21,60
590,July,2023,7/10/2023,3.79,15,980,80,1400,6,150,980,2,63
591,July,2023,7/10/2023,3.88,15,540,48,980,0,120,450,8,65
592,July,2023,7/10/2023,3.81,15,1100,100,2100,12,48,900,12,64
593,July,2023,7/11/2023,3.82,15,750,50,1200,10,110,1200,10,64
594,July,2023,7/24/2023,1.89,10,1800,160,3200,24,220,1700,24,32
595,July,2023,7/24/2023,3.58,15,2300,390,5000,32,360,2400,30,60
596,July,2023,7/31/2023,3.67,15,3400,480,5800,24,440,3000,18,61
597,July,2023,7/31/2023,2.91,15,2700,300,4200,38,220,1800,30,49
598,August,2023,8/8/2023,4.44,15,3000,440,5400,21,330,1400,24,74
599,August,2023,8/9/2023,3.41,15,3800,350,6000,18,120,2100,40,57
600,August,2023,8/10/2023,3.83,15,4200,480,4800,40,270,2400,21,64
601,August,2023,8/10/2023,2.67,15,1800,90,3800,27,420,1850,42,45
602,August,2023,8/14/2023,2.15,10,2000,290,4300,24,400,3000,36,36
603,August,2023,8/17/2023,3.08,15,3300,400,5500,44,310,1100,10,51
604,September,2023,9/11/2023,2.77,15,4200,500,4200,18,540,2900,30,46
605,September,2023,9/11/2023,3.55,15,1200,210,3100,10,200,1400,6,59
606,September,2023,9/12/2023,3.51,15,2200,340,4400,20,140,2000,20,59
607,September,2023,9/12/2023,3.32,15,850,150,1800,8,180,1500,18,55
608,September,2023,9/12/2023,3.1,15,980,80,2100,16,80,1100,4,52
609,September,2023,9/13/2023,3.97,15,300,50,1500,12,120,600,0,66
610,September,2023,9/13/2023,2.86,15,450,120,900,0,100,800,0,48
611,September,2023,9/13/2023,3.53,15,80,20,500,4,40,350,2,59
612,September,2023,9/19/2023,2.39,10,1800,240,3600,24,280,2100,27,40
613,September,2023,9/19/2023,3.26,15,2200,380,4800,40,410,2700,18,54
614,September,2023,9/26/2023,3.55,15,3400,360,4200,20,300,1200,14,59
615,October,2023,10/10/2023,2.27,15,3100,240,3300,12,220,980,30,38
616,October,2023,10/18/2023,2.19,15,2600,190,3900,18,290,1600,20,37
617,November,2023,11/24/2023,3.36,15,1800,120,2400,6,140,1900,14,56
618,November,2023,11/24/2023,2.93,15,1200,180,3200,12,180,1000,22,49
619,November,2023,11/24/2023,2.46,15,2200,210,3700,21,240,1200,18,41
620,November,2023,11/24/2023,3.23,15,1400,100,2000,8,80,980,10,54
621,November,2023,11/29/2023,2.07,10,2100,180,2800,18,200,1500,30,35
622,November,2023,11/29/2023,2.63,15,1600,240,3200,28,260,1100,18,44
623,November,2023,11/29/2023,2.95,15,2000,160,4400,24,180,2200,12,49
624,December,2023,12/12/2023,3.18,15,3200,240,4200,30,210,1800,16,53
625,December,2023,12/12/2023,3.73,15,2100,190,3000,22,190,1200,20,62
626,December,2023,12/20/2023,3.01,15,1400,120,2900,12,220,980,32,50
627,December,2023,12/20/2023,2.34,15,880,75,2600,8,140,1400,10,39
628,December,2023,12/23/2023,2.88,15,2000,140,3200,18,200,1900,22,48
629,December,2023,12/23/2023,2.51,15,1200,210,4000,27,250,1600,21,42
630,January,2024,1/3/2024,3.18,15,1700,420,5200,16,310,2100,18,53
631,January,2024,1/8/2024,2.2,15,980,240,3100,20,280,1500,30,37
632,January,2024,1/8/2024,3,15,750,140,2800,18,250,1100,12,50
633,January,2024,1/11/2024,2.46,15,1900,380,4100,24,380,2200,28,41
634,January,2024,1/11/2024,2.82,15,1250,300,2600,21,440,1400,15,47
635,January,2024,1/12/2024,2.92,15,1000,270,2100,12,270,2500,32,49
636,January,2024,1/15/2024,2.61,15,850,110,1900,10,140,900,6,44
637,February,2024,2/15/2024,3.15,15,2100,540,4800,32,320,1600,24,53
638,March,2024,3/6/2024,2.96,15,2400,480,3600,22,300,2000,42,49
639,March,2024,3/26/2024,3.65,15,1800,410,2100,14,440,1900,21,61
640,March,2024,3/26/2024,2.54,15,1400,340,3600,40,520,3200,27,42
641,March,2024,3/29/2024,3.34,15,2900,420,4200,24,480,3000,28,56
642,April,2024,4/4/2024,4.3,15,1900,660,5500,12,250,4100,30,72
643,April,2024,4/9/2024,3.49,15,1100,210,2200,18,240,2600,12,58
644,April,2024,4/9/2024,1.25,15,900,180,1200,10,480,1700,42,21
645,March,2024,5/2/2024,4.9,15,2200,500,6400,32,380,3200,32,82
646,March,2024,5/10/2024,3.68,15,2000,380,3600,14,490,2000,15,61
647,March,2024,5/10/2024,4.7,15,1200,360,3200,20,200,1600,27,78
648,March,2024,5/30/2024,4.13,15,2400,580,4800,12,540,2700,36,69
649,March,2024,5/30/2024,3.34,15,850,100,1400,9,100,1000,12,56
650,June,2024,6/11/2024,3.02,15,1700,290,2100,21,280,3400,38,50
651,June,2024,6/11/2024,4,15,640,90,1100,10,90,1300,20,67
652,July,2024,7/2/2024,3.95,15,2500,310,4500,18,400,4200,12,66
653,July,2024,7/2/2024,3.95,15,1600,420,5400,32,340,3900,29,66
654,July,2024,7/9/2024,3.02,15,2000,510,6500,14,540,4900,18,50
655,July,2024,7/24/2024,3.23,15,1400,320,7200,40,210,2900,36,54
656,August,2024,8/2/2024,3.67,15,2900,740,8100,24,400,5100,20,61
657,August,2024,8/5/2024,3.55,15,1800,440,4900,30,360,4400,18,59
658,August,2024,8/5/2024,3.32,15,1500,480,5900,10,290,4900,18,55
659,August,2024,8/6/2024,3.63,15,950,250,6700,8,440,3600,30,61
660,August,2024,8/10/2024,3.97,15,3000,640,8500,21,320,6400,21,66
661,August,2024,8/10/2024,3.48,15,1400,360,4900,32,500,4800,34,58
662,August,2024,8/20/2024,3.15,15,2700,800,6500,10,490,5100,29,53
663,September,2024,9/23/2024,1.5,15,2400,660,7200,21,310,5400,20,25
664,September,2024,9/23/2024,3.71,15,1200,300,4900,18,440,3600,18,62
665,September,2024,9/30/2024,2.97,15,1500,490,5400,30,500,4100,34,50
666,November,2024,11/13/2024,3.47,15,2300,650,6200,14,520,5100,22,58
667,November,2024,11/25/2024,3.2,15,1900,480,5400,26,390,3900,32,53
668,December,2024,12/7/2024,2.29,15,3100,710,6400,29,650,6900,40,38
669,December,2024,12/13/2024,3.01,15,2100,390,5900,12,480,5600,22,50
670,December,2024,12/13/2024,2.89,15,2700,400,4800,32,510,4900,18,48
671,December,2024,12/13/2024,3.31,15,3000,520,6100,28,620,5900,21,55
672,February,2025,2/7/2025,3.09,15,4100,490,7200,36,540,6600,39,52
673,February,2025,2/25/2025,2.14,15,3400,620,4900,20,480,4200,21,36
674,March,2025,3/6/2025,3.38,15,2900,250,5800,39,440,3400,30,56
675,March,2025,3/7/2025,3.82,15,2400,440,6900,20,570,4900,24,64
676,March,2025,3/7/2025,4.13,15,3600,660,8100,18,360,5400,28,69
677,March,2025,3/24/2025,3.28,15,2800,390,6200,30,520,3300,14,55
678,March,2025,3/24/2025,3.86,15,1800,220,4900,12,320,4400,21,64
679,April,2025,4/2/2025,3.72,15,2700,410,5400,29,400,5200,12,62
680,April,2025,4/15/2025,4.84,15,3100,540,7000,18,480,5500,22,81
681,April,2025,4/28/2025,4.21,15,4000,380,6600,30,550,6900,18,70
682,April,2025,4/28/2025,4.4,15,1600,240,4200,20,490,4500,22,73
683,March,2025,5/6/2025,4.6,15,2900,400,6000,21,590,5700,30,77
684,March,2025,5/6/2025,3.53,15,1900,320,4900,14,340,3900,10,59
685,March,2025,5/15/2025,2.92,15,3200,640,7100,29,570,6100,28,49
686,March,2025,5/16/2025,3.5,15,1700,390,5300,16,290,5600,32,58
687,March,2025,5/16/2025,5.18,15,1200,210,4900,8,360,3100,8,86
688,March,2025,5/21/2025,2.7,15,2800,480,6200,24,320,5100,21,45
689,March,2025,5/29/2025,3.73,15,3900,500,5600,24,450,6400,32,62
690,March,2025,5/30/2025,2.84,10,2100,340,4900,18,310,3900,22,47
691,June,2025,6/2/2025,2.53,15,3300,490,6600,30,550,5700,18,42
692,June,2025,6/2/2025,3.14,15,2900,460,5800,14,420,4900,27,52
693,June,2025,6/2/2025,3.89,15,2500,510,4800,21,690,7100,32,65
694,June,2025,6/4/2025,3.23,15,4000,610,6400,29,460,5200,20,54
695,June,2025,6/12/2025,3.45,15,2700,390,3900,12,550,5500,22,58
696,June,2025,6/20/2025,4.43,15,1400,280,4400,30,510,4400,18,74
697,June,2025,6/20/2025,3.95,15,950,180,3900,12,320,3600,10,66
698,June,2025,6/25/2025,2.35,15,3400,640,7000,27,590,6200,27,39
699,June,2025,6/27/2025,3.38,15,2800,520,5500,33,440,3900,38,56
700,July,2025,7/11/2025,4,15,3900,550,6600,18,640,5300,26,67
701,July,2025,7/16/2025,3.57,15,2500,480,7400,35,720,6400,22,60
702,July,2025,7/16/2025,2.64,10,2000,320,5300,12,490,4500,16,44
703,July,2025,7/17/2025,3.72,15,2900,490,6500,29,660,5900,30,62
704,July,2025,7/18/2025,3.55,15,3200,660,7500,40,680,6600,29,59
705,July,2025,7/18/2025,2.69,15,4100,570,5900,29,440,4900,18,45
706,July,2025,7/22/2025,2.79,15,2600,780,8000,15,320,7200,35,47
707,July,2025,7/29/2025,4.21,15,1500,440,4900,21,520,5500,22,70
708,August,2025,8/4/2025,3.51,15,1900,590,7600,29,480,6200,16,59
